dyad,MonthYear,event_count,goldstein_std,goldstein_min,num_mentions_sum,num_articles_sum,num_sources_sum,high_conflict_count,low_conflict_count,quad4_count,high_conflict_pct,low_conflict_pct,quad4_pct
CHN-JPN,201501,115,2.9702265264203898,-10.0,543,529,115,2,17,3.0,0.017391304347826,0.1478260869565217,0.0260869565217391
CHN-JPN,201502,1342,4.358883106039534,-10.0,6360,6303,1405,99,330,142.0,0.0737704918032786,0.2459016393442623,0.1058122205663189
CHN-JPN,201503,7929,3.8377973525875486,-10.0,35727,35260,8537,271,2030,407.0,0.0341783327027367,0.2560221969983604,0.0513305587085382
CHN-JPN,201504,6904,4.077461226216237,-10.0,31897,31518,7633,320,1783,501.0,0.0463499420625724,0.2582560834298957,0.0725666280417149
CHN-JPN,201505,5125,4.444714093005009,-10.0,22334,22019,5374,335,1416,482.0,0.0653658536585365,0.2762926829268293,0.0940487804878048
CHN-JPN,201506,5552,4.225468426688695,-10.0,24224,23946,6041,239,1650,449.0,0.0430475504322766,0.2971902017291066,0.080871757925072
CHN-JPN,201507,7571,4.2297634812065175,-10.0,36274,35654,7963,388,2696,581.0,0.0512481838594637,0.3560956280544182,0.0767401928411042
CHN-JPN,201508,8838,4.653007665356072,-10.0,41840,41118,9221,759,2873,1061.0,0.0858791581805838,0.3250735460511428,0.1200497850192351
CHN-JPN,201509,7832,4.544743211337078,-10.0,39203,37833,8079,589,2806,942.0,0.0752042900919305,0.3582737487231869,0.1202757916241062
CHN-JPN,201510,7710,4.100954421964609,-10.0,34695,34162,8280,327,2159,759.0,0.0424124513618677,0.2800259403372244,0.0984435797665369
CHN-JPN,201511,6719,3.771689831117466,-10.0,29046,28455,7097,188,1477,374.0,0.0279803542193778,0.219824378627772,0.0556630450959964
CHN-JPN,201512,4358,4.351091715439886,-10.0,20365,19939,4502,210,1477,472.0,0.0481872418540614,0.3389169343735658,0.1083065626434144
CHN-JPN,201601,3908,4.279251770094644,-10.0,17176,16671,4043,180,1126,316.0,0.0460593654042988,0.2881269191402252,0.0808597748208802
CHN-JPN,201602,3218,4.320041071590262,-10.0,14026,13770,3437,145,950,273.0,0.0450590428837787,0.2952144188937228,0.0848353014294592
CHN-JPN,201603,3900,4.18033852816842,-10.0,17700,17418,4160,161,1191,264.0,0.0412820512820512,0.3053846153846153,0.0676923076923076
